priority,brand,model,variant,keyword_type,keyword
94,POCO,X8 Power 5G,8GB/128GB,model,POCO X8 Power 5G
94,POCO,X8 Power 5G,8GB/128GB,price,POCO X8 Power 5G price
94,POCO,X8 Power 5G,8GB/128GB,buy,POCO X8 Power 5G buy
94,POCO,X8 Power 5G,8GB/128GB,variant,POCO X8 Power 5G 8GB/128GB
95,vivo,T5 Pro,8GB/128GB,model,vivo T5 Pro
95,vivo,T5 Pro,8GB/128GB,price,vivo T5 Pro price
95,vivo,T5 Pro,8GB/128GB,buy,vivo T5 Pro buy
95,vivo,T5 Pro,8GB/128GB,variant,vivo T5 Pro 8GB/128GB
96,OnePlus,Nord CE 6 5G,8GB/128GB,model,OnePlus Nord CE 6 5G
96,OnePlus,Nord CE 6 5G,8GB/128GB,price,OnePlus Nord CE 6 5G price
96,OnePlus,Nord CE 6 5G,8GB/128GB,buy,OnePlus Nord CE 6 5G buy
96,OnePlus,Nord CE 6 5G,8GB/128GB,variant,OnePlus Nord CE 6 5G 8GB/128GB
97,Samsung,Galaxy A37 5G,8GB/128GB,model,Samsung Galaxy A37 5G
97,Samsung,Galaxy A37 5G,8GB/128GB,price,Samsung Galaxy A37 5G price
97,Samsung,Galaxy A37 5G,8GB/128GB,buy,Samsung Galaxy A37 5G buy
97,Samsung,Galaxy A37 5G,8GB/128GB,variant,Samsung Galaxy A37 5G 8GB/128GB
98,Tecno,Camon 50 Ultra,8GB/256GB,model,Tecno Camon 50 Ultra
98,Tecno,Camon 50 Ultra,8GB/256GB,price,Tecno Camon 50 Ultra price
98,Tecno,Camon 50 Ultra,8GB/256GB,buy,Tecno Camon 50 Ultra buy
98,Tecno,Camon 50 Ultra,8GB/256GB,variant,Tecno Camon 50 Ultra 8GB/256GB
99,vivo,S2 5G,8GB/128GB,model,vivo S2 5G
99,vivo,S2 5G,8GB/128GB,price,vivo S2 5G price
99,vivo,S2 5G,8GB/128GB,buy,vivo S2 5G buy
99,vivo,S2 5G,8GB/128GB,variant,vivo S2 5G 8GB/128GB
100,Xiaomi/Redmi,Redmi Turbo 5,8GB/256GB,model,Xiaomi/Redmi Redmi Turbo 5
100,Xiaomi/Redmi,Redmi Turbo 5,8GB/256GB,price,Xiaomi/Redmi Redmi Turbo 5 price
100,Xiaomi/Redmi,Redmi Turbo 5,8GB/256GB,buy,Xiaomi/Redmi Redmi Turbo 5 buy
100,Xiaomi/Redmi,Redmi Turbo 5,8GB/256GB,variant,Xiaomi/Redmi Redmi Turbo 5 8GB/256GB
101,Nothing,Phone 4a Pro,8GB/128GB,model,Nothing Phone 4a Pro
101,Nothing,Phone 4a Pro,8GB/128GB,price,Nothing Phone 4a Pro price
101,Nothing,Phone 4a Pro,8GB/128GB,buy,Nothing Phone 4a Pro buy
101,Nothing,Phone 4a Pro,8GB/128GB,variant,Nothing Phone 4a Pro 8GB/128GB
102,OPPO,Reno14,8GB/256GB,model,OPPO Reno14
102,OPPO,Reno14,8GB/256GB,price,OPPO Reno14 price
102,OPPO,Reno14,8GB/256GB,buy,OPPO Reno14 buy
102,OPPO,Reno14,8GB/256GB,variant,OPPO Reno14 8GB/256GB
103,vivo,V70 Elite,8GB/256GB,model,vivo V70 Elite
103,vivo,V70 Elite,8GB/256GB,price,vivo V70 Elite price
103,vivo,V70 Elite,8GB/256GB,buy,vivo V70 Elite buy
103,vivo,V70 Elite,8GB/256GB,variant,vivo V70 Elite 8GB/256GB
104,iQOO,Neo 10,8GB/128GB,model,iQOO Neo 10
104,iQOO,Neo 10,8GB/128GB,price,iQOO Neo 10 price
104,iQOO,Neo 10,8GB/128GB,buy,iQOO Neo 10 buy
104,iQOO,Neo 10,8GB/128GB,variant,iQOO Neo 10 8GB/128GB
105,OnePlus,Nord 6,8GB/256GB,model,OnePlus Nord 6
105,OnePlus,Nord 6,8GB/256GB,price,OnePlus Nord 6 price
105,OnePlus,Nord 6,8GB/256GB,buy,OnePlus Nord 6 buy
105,OnePlus,Nord 6,8GB/256GB,variant,OnePlus Nord 6 8GB/256GB
106,Samsung,Galaxy S25 FE,8GB/128GB,model,Samsung Galaxy S25 FE
106,Samsung,Galaxy S25 FE,8GB/128GB,price,Samsung Galaxy S25 FE price
106,Samsung,Galaxy S25 FE,8GB/128GB,buy,Samsung Galaxy S25 FE buy
106,Samsung,Galaxy S25 FE,8GB/128GB,variant,Samsung Galaxy S25 FE 8GB/128GB
107,POCO,X8 Pro Max,12GB/256GB,model,POCO X8 Pro Max
107,POCO,X8 Pro Max,12GB/256GB,price,POCO X8 Pro Max price
107,POCO,X8 Pro Max,12GB/256GB,buy,POCO X8 Pro Max buy
107,POCO,X8 Pro Max,12GB/256GB,variant,POCO X8 Pro Max 12GB/256GB
108,OPPO,Reno16c 5G,8GB/256GB,model,OPPO Reno16c 5G
108,OPPO,Reno16c 5G,8GB/256GB,price,OPPO Reno16c 5G price
108,OPPO,Reno16c 5G,8GB/256GB,buy,OPPO Reno16c 5G buy
108,OPPO,Reno16c 5G,8GB/256GB,variant,OPPO Reno16c 5G 8GB/256GB
109,Tecno,Pova 8 Pro 5G,8GB/256GB,model,Tecno Pova 8 Pro 5G
109,Tecno,Pova 8 Pro 5G,8GB/256GB,price,Tecno Pova 8 Pro 5G price
109,Tecno,Pova 8 Pro 5G,8GB/256GB,buy,Tecno Pova 8 Pro 5G buy
109,Tecno,Pova 8 Pro 5G,8GB/256GB,variant,Tecno Pova 8 Pro 5G 8GB/256GB
110,Nothing,Phone 3,12GB/256GB,model,Nothing Phone 3
110,Nothing,Phone 3,12GB/256GB,price,Nothing Phone 3 price
110,Nothing,Phone 3,12GB/256GB,buy,Nothing Phone 3 buy
110,Nothing,Phone 3,12GB/256GB,variant,Nothing Phone 3 12GB/256GB
111,Google,Pixel 10A,8GB/256GB,model,Google Pixel 10A
111,Google,Pixel 10A,8GB/256GB,price,Google Pixel 10A price
111,Google,Pixel 10A,8GB/256GB,buy,Google Pixel 10A buy
111,Google,Pixel 10A,8GB/256GB,variant,Google Pixel 10A 8GB/256GB
112,iQOO,15R,8GB/256GB,model,iQOO 15R
112,iQOO,15R,8GB/256GB,price,iQOO 15R price
112,iQOO,15R,8GB/256GB,buy,iQOO 15R buy
112,iQOO,15R,8GB/256GB,variant,iQOO 15R 8GB/256GB
113,OnePlus,13s,12GB/256GB,model,OnePlus 13s
113,OnePlus,13s,12GB/256GB,price,OnePlus 13s price
113,OnePlus,13s,12GB/256GB,buy,OnePlus 13s buy
113,OnePlus,13s,12GB/256GB,variant,OnePlus 13s 12GB/256GB
114,Samsung,Galaxy A57 5G,8GB/256GB,model,Samsung Galaxy A57 5G
114,Samsung,Galaxy A57 5G,8GB/256GB,price,Samsung Galaxy A57 5G price
114,Samsung,Galaxy A57 5G,8GB/256GB,buy,Samsung Galaxy A57 5G buy
114,Samsung,Galaxy A57 5G,8GB/256GB,variant,Samsung Galaxy A57 5G 8GB/256GB
115,Samsung,Galaxy S24 5G,8GB/256GB,model,Samsung Galaxy S24 5G
115,Samsung,Galaxy S24 5G,8GB/256GB,price,Samsung Galaxy S24 5G price
115,Samsung,Galaxy S24 5G,8GB/256GB,buy,Samsung Galaxy S24 5G buy
115,Samsung,Galaxy S24 5G,8GB/256GB,variant,Samsung Galaxy S24 5G 8GB/256GB
116,OnePlus,15R,12GB/256GB,model,OnePlus 15R
116,OnePlus,15R,12GB/256GB,price,OnePlus 15R price
116,OnePlus,15R,12GB/256GB,buy,OnePlus 15R buy
116,OnePlus,15R,12GB/256GB,variant,OnePlus 15R 12GB/256GB
117,OnePlus,13,12GB/256GB,model,OnePlus 13
117,OnePlus,13,12GB/256GB,price,OnePlus 13 price
117,OnePlus,13,12GB/256GB,buy,OnePlus 13 buy
117,OnePlus,13,12GB/256GB,variant,OnePlus 13 12GB/256GB
118,OPPO,Reno16 5G,8GB/256GB,model,OPPO Reno16 5G
118,OPPO,Reno16 5G,8GB/256GB,price,OPPO Reno16 5G price
118,OPPO,Reno16 5G,8GB/256GB,buy,OPPO Reno16 5G buy
118,OPPO,Reno16 5G,8GB/256GB,variant,OPPO Reno16 5G 8GB/256GB
119,OnePlus,15R 16GB 512GB,16GB/512GB,model,OnePlus 15R 16GB 512GB
119,OnePlus,15R 16GB 512GB,16GB/512GB,price,OnePlus 15R 16GB 512GB price
119,OnePlus,15R 16GB 512GB,16GB/512GB,buy,OnePlus 15R 16GB 512GB buy
119,OnePlus,15R 16GB 512GB,16GB/512GB,variant,OnePlus 15R 16GB 512GB 16GB/512GB
120,Google,Pixel 10,12GB/256GB,model,Google Pixel 10
120,Google,Pixel 10,12GB/256GB,price,Google Pixel 10 price
120,Google,Pixel 10,12GB/256GB,buy,Google Pixel 10 buy
120,Google,Pixel 10,12GB/256GB,variant,Google Pixel 10 12GB/256GB
121,iQOO,15,12GB/256GB,model,iQOO 15
121,iQOO,15,12GB/256GB,price,iQOO 15 price
121,iQOO,15,12GB/256GB,buy,iQOO 15 buy
121,iQOO,15,12GB/256GB,variant,iQOO 15 12GB/256GB
122,Google,Pixel 11,12GB/256GB,model,Google Pixel 11
122,Google,Pixel 11,12GB/256GB,price,Google Pixel 11 price
122,Google,Pixel 11,12GB/256GB,buy,Google Pixel 11 buy
122,Google,Pixel 11,12GB/256GB,variant,Google Pixel 11 12GB/256GB
123,OPPO,Find X9 5G,12GB/256GB,model,OPPO Find X9 5G
123,OPPO,Find X9 5G,12GB/256GB,price,OPPO Find X9 5G price
123,OPPO,Find X9 5G,12GB/256GB,buy,OPPO Find X9 5G buy
123,OPPO,Find X9 5G,12GB/256GB,variant,OPPO Find X9 5G 12GB/256GB
124,OnePlus,15,12GB/256GB,model,OnePlus 15
124,OnePlus,15,12GB/256GB,price,OnePlus 15 price
124,OnePlus,15,12GB/256GB,buy,OnePlus 15 buy
124,OnePlus,15,12GB/256GB,variant,OnePlus 15 12GB/256GB
125,Google,Pixel 11 Pro,12GB/256GB,model,Google Pixel 11 Pro
125,Google,Pixel 11 Pro,12GB/256GB,price,Google Pixel 11 Pro price
125,Google,Pixel 11 Pro,12GB/256GB,buy,Google Pixel 11 Pro buy
125,Google,Pixel 11 Pro,12GB/256GB,variant,Google Pixel 11 Pro 12GB/256GB
126,Samsung,Galaxy S26 Ultra,12GB/256GB,model,Samsung Galaxy S26 Ultra
126,Samsung,Galaxy S26 Ultra,12GB/256GB,price,Samsung Galaxy S26 Ultra price
126,Samsung,Galaxy S26 Ultra,12GB/256GB,buy,Samsung Galaxy S26 Ultra buy
126,Samsung,Galaxy S26 Ultra,12GB/256GB,variant,Samsung Galaxy S26 Ultra 12GB/256GB
