store,title,category,link,price,mrp,expiry
Amazon IN,boAt Airdopes 311 Pro,Earbuds,https://www.amazon.in/s?k=boat+airdopes+311+pro,,,
Amazon IN,Fire Boltt Smartwatch,Smartwatch,https://www.amazon.in/s?k=fire+boltt+smartwatch,,,
Amazon IN,Samsung 5G Mobile,Mobiles,https://www.amazon.in/s?k=samsung+5g+mobile,,,
